gene	magma_p	magma_trait	magma_sig	transcriptome_sig	coloc_sig	fine_map_sig	evidence_count	integrated_score
337963	0.00016182	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.7909678031634653
25970	0.00016268	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.78866583626745
219541	0.00017222	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.7639164151049536
5798	0.00017355	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.7605753819925694
5587	0.00017848	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.748410442724219
26035	0.00018863	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.7243892352554275
3913	0.00019019	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.7208123215678524
2037	0.00019034	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.7204699350245596
85302	0.00019043	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.7202646325894984
27299	0.00019055	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.719991046891814
26863	0.00019158	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.7176498310769115
26869	0.00019158	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.7176498310769115
26870	0.00019158	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.7176498310769115
26871	0.00019158	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.7176498310769115
6060	0.00019158	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.7176498310769115
7412	0.00019449	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.711102723677434
8368	0.00019727	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.704938955422377
59283	0.00019867	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.7018677082203904
8927	0.00020075	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.6973444460492813
10000	0.00020654	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.684995827315103
81606	0.00021046	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.676830433937627
100130673	0.0002124	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.6728454875905685
8354	0.00021974	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.658090879820232
373863	0.00022635	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.6452195011687287
114900	0.00022991	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.6384421385594776
54463	0.00023133	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.635768042155454
27154	0.00023281	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.632998369161559
100616232	0.0002424	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.6154673845057514
54853	0.0002476	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.60624935965192
729025	0.00024796	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.605618372320464
643376	0.00024972	SI__EUR_MM__trait3__Loneliness	False	False	False	False	0	3.6025466737407483
